CRASH_DATE,HIT_AND_RUN_I,CAUSES,AMBULANCE_REQUIRED,FATAL_ACCIDENT,CRASH_HOUR,CRASH_DAY_OF_WEEK,CRASH_MONTH,LATITUDE,LONGITUDE
7/12/2023,Y,"UNABLE TO DETERMINE, UNABLE TO DETERMINE",N,N,18,4,7,41.75821635,-87.68477167
7/12/2023,Y,"UNABLE TO DETERMINE, UNABLE TO DETERMINE",N,N,1,4,7,41.79187122,-87.69990864
7/12/2023,Y,"UNABLE TO DETERMINE, NOT APPLICABLE",N,N,1,4,7,41.94619222,-87.80718468
7/12/2023,N,"FAILING TO YIELD RIGHT-OF-WAY, DISREGARDING STOP SIGN",Y,N,15,4,7,41.89306544,-87.67684873
7/12/2023,N,"FAILING TO YIELD RIGHT-OF-WAY, UNABLE TO DETERMINE",N,N,15,4,7,41.85135256,-87.73066653
12/9/2020,N,"NOT APPLICABLE, NOT APPLICABLE",N,N,22,4,12,41.89571292,-87.66124431
7/12/2023,Y,"UNABLE TO DETERMINE, UNABLE TO DETERMINE",N,N,21,4,7,41.80093766,-87.60651132
7/12/2023,Y,"DISREGARDING STOP SIGN, IMPROPER TURNING/NO SIGNAL",N,N,10,4,7,41.73747471,-87.55251125
7/12/2023,Y,"FOLLOWING TOO CLOSELY, NOT APPLICABLE",N,N,16,4,7,41.86333931,-87.68967991
7/12/2023,Y,"UNABLE TO DETERMINE, UNABLE TO DETERMINE",N,N,10,4,7,41.74678706,-87.66617183
7/13/2023,N,"FOLLOWING TOO CLOSELY, NOT APPLICABLE",N,N,11,5,7,0.0,0.0
7/12/2023,N,"UNABLE TO DETERMINE, UNABLE TO DETERMINE",Y,N,6,4,7,41.93226101,-87.63838796
4/10/2018,Y,"FAILING TO YIELD RIGHT-OF-WAY, NOT APPLICABLE",N,N,12,3,4,41.91115214,-87.66132779
7/12/2023,N,"FAILING TO REDUCE SPEED TO AVOID CRASH, UNABLE TO DETERMINE",Y,N,7,4,7,41.77402023,-87.64934995
7/12/2023,Y,"IMPROPER OVERTAKING/PASSING, IMPROPER OVERTAKING/PASSING",N,N,5,4,7,41.72129875,-87.64729964
6/30/2021,Y,"DRIVING SKILLS/KNOWLEDGE/EXPERIENCE, UNABLE TO DETERMINE",N,N,21,4,6,41.9110995,-87.66103167
4/20/2023,N,"IMPROPER BACKING, NOT APPLICABLE",N,N,13,5,4,41.91080385,-87.66101984
3/17/2020,N,"NOT APPLICABLE, NOT APPLICABLE",N,N,11,3,3,41.76723149,-87.57050185
7/12/2023,N,"WEATHER, UNABLE TO DETERMINE",N,N,7,4,7,41.7433101,-87.6406754
3/1/2016,N,"FOLLOWING TOO CLOSELY, NOT APPLICABLE",N,N,18,3,3,41.89609159,-87.66154671
7/12/2023,N,"UNABLE TO DETERMINE, UNABLE TO DETERMINE",N,N,15,4,7,41.89600335,-87.67801387
7/12/2023,N,"DRIVING SKILLS/KNOWLEDGE/EXPERIENCE, DISTRACTION - FROM INSIDE VEHICLE",Y,N,7,4,7,41.78346107,-87.76209063
7/12/2023,Y,"FAILING TO REDUCE SPEED TO AVOID CRASH, UNABLE TO DETERMINE",N,N,22,4,7,41.94098081,-87.68781207
7/12/2023,N,"UNABLE TO DETERMINE, NOT APPLICABLE",Y,N,14,4,7,41.80796672,-87.70743584
7/12/2023,N,"UNABLE TO DETERMINE, NOT APPLICABLE",N,N,11,4,7,41.88317184,-87.6521331
7/12/2023,Y,"UNABLE TO DETERMINE, UNABLE TO DETERMINE",N,N,15,4,7,41.90407674,-87.62480394
7/12/2023,N,"FOLLOWING TOO CLOSELY, NOT APPLICABLE",N,N,13,4,7,41.94318737,-87.68830202
7/12/2023,N,"UNABLE TO DETERMINE, UNABLE TO DETERMINE",Y,N,13,4,7,41.7801479,-87.6252264
7/12/2023,N,"DRIVING SKILLS/KNOWLEDGE/EXPERIENCE, DRIVING SKILLS/KNOWLEDGE/EXPERIENCE",N,N,8,4,7,41.94515935,-87.81785749
7/12/2023,N,"FOLLOWING TOO CLOSELY, FOLLOWING TOO CLOSELY",N,N,13,4,7,41.75666358,-87.60548737
7/12/2023,N,"FOLLOWING TOO CLOSELY, NOT APPLICABLE",N,N,18,4,7,41.92341561,-87.64613577
4/22/2021,N,"FAILING TO YIELD RIGHT-OF-WAY, IMPROPER OVERTAKING/PASSING",N,N,16,5,4,41.911093,-87.66132544
7/12/2023,Y,"FAILING TO REDUCE SPEED TO AVOID CRASH, NOT APPLICABLE",N,N,14,4,7,41.89093616,-87.67679066
2/3/2022,N,"UNABLE TO DETERMINE, UNABLE TO DETERMINE",N,N,23,5,2,41.91085638,-87.66131599
7/12/2023,Y,"FAILING TO YIELD RIGHT-OF-WAY, NOT APPLICABLE",N,N,13,4,7,41.88922537,-87.63267412
5/4/2019,N,"TURNING RIGHT ON RED, DISREGARDING TRAFFIC SIGNALS",N,N,17,7,5,41.91079724,-87.6613136
7/12/2023,N,"UNABLE TO DETERMINE, NOT APPLICABLE",Y,N,12,4,7,41.94555292,-87.78636821
7/12/2023,Y,"UNABLE TO DETERMINE, NOT APPLICABLE",N,N,9,4,7,41.80349514,-87.66011743
7/12/2023,N,"FOLLOWING TOO CLOSELY, FOLLOWING TOO CLOSELY",Y,N,8,4,7,41.82838159,-87.68512204
7/12/2023,Y,"OPERATING VEHICLE IN ERRATIC, RECKLESS, CARELESS, NEGLIGENT OR AGGRESSIVE MANNER, NOT APPLICABLE",N,N,7,4,7,41.99197217,-87.71150799
7/12/2023,N,"UNABLE TO DETERMINE, NOT APPLICABLE",N,N,16,4,7,41.86759001,-87.61880824
6/13/2023,N,"UNABLE TO DETERMINE, UNABLE TO DETERMINE",N,N,12,3,6,41.90925241,-87.74596824
7/12/2023,N,"UNABLE TO DETERMINE, UNABLE TO DETERMINE",N,N,10,4,7,41.80876996,-87.7041481
7/12/2023,N,"FAILING TO REDUCE SPEED TO AVOID CRASH, FOLLOWING TOO CLOSELY",N,N,8,4,7,41.72117331,-87.67346539
7/12/2023,N,"UNABLE TO DETERMINE, UNABLE TO DETERMINE",N,N,19,4,7,41.97578001,-87.68934508
7/12/2023,N,"NOT APPLICABLE, NOT APPLICABLE",N,N,9,4,7,42.01567631,-87.69036335
7/12/2023,N,"IMPROPER OVERTAKING/PASSING, UNABLE TO DETERMINE",N,N,0,4,7,,
7/12/2023,N,"DRIVING SKILLS/KNOWLEDGE/EXPERIENCE, FAILING TO REDUCE SPEED TO AVOID CRASH",N,N,9,4,7,41.68037805,-87.68094458
7/12/2023,Y,"UNDER THE INFLUENCE OF ALCOHOL/DRUGS (USE WHEN ARREST IS EFFECTED), NOT APPLICABLE",N,N,1,4,7,41.94706772,-87.80692061
7/12/2023,N,"UNABLE TO DETERMINE, UNABLE TO DETERMINE",N,N,22,4,7,41.89311028,-87.63693117
7/12/2023,N,"FOLLOWING TOO CLOSELY, NOT APPLICABLE",N,N,18,4,7,41.81296274,-87.61683559
7/12/2023,N,"UNABLE TO DETERMINE, UNABLE TO DETERMINE",Y,N,1,4,7,41.86588566,-87.7374859
7/12/2023,N,"FAILING TO YIELD RIGHT-OF-WAY, NOT APPLICABLE",N,N,8,4,7,41.90240961,-87.73586521
7/12/2023,Y,"DISREGARDING TRAFFIC SIGNALS, NOT APPLICABLE",N,N,22,4,7,41.88963425,-87.6297443
7/12/2023,N,"UNABLE TO DETERMINE, NOT APPLICABLE",N,N,16,4,7,41.92969773,-87.68399026
7/12/2023,N,"FOLLOWING TOO CLOSELY, UNABLE TO DETERMINE",N,N,16,4,7,41.94251887,-87.68788255
7/12/2023,N,"UNABLE TO DETERMINE, UNABLE TO DETERMINE",N,N,13,4,7,41.92375069,-87.72689596
5/5/2020,N,"UNABLE TO DETERMINE, NOT APPLICABLE",N,N,18,3,5,41.85812941,-87.65169593
7/12/2023,Y,"UNABLE TO DETERMINE, UNABLE TO DETERMINE",Y,N,8,4,7,41.79358001,-87.69385554
7/12/2023,N,"UNABLE TO DETERMINE, UNABLE TO DETERMINE",N,N,8,4,7,41.93454176,-87.70273942
7/12/2023,N,"FAILING TO YIELD RIGHT-OF-WAY, DRIVING SKILLS/KNOWLEDGE/EXPERIENCE",N,N,20,4,7,41.88438066,-87.65225206
7/12/2023,N,"FAILING TO YIELD RIGHT-OF-WAY, NOT APPLICABLE",Y,N,17,4,7,41.90659584,-87.67132302
7/12/2023,N,"UNABLE TO DETERMINE, UNABLE TO DETERMINE",N,N,19,4,7,41.89578523,-87.67793089
7/12/2023,N,"UNABLE TO DETERMINE, UNABLE TO DETERMINE",N,N,17,4,7,41.87443478,-87.71076508
7/12/2023,N,"IMPROPER LANE USAGE, IMPROPER TURNING/NO SIGNAL",N,N,9,4,7,41.8915077,-87.63688268
7/12/2023,N,"UNABLE TO DETERMINE, NOT APPLICABLE",N,N,19,4,7,41.9237502,-87.78988086
7/12/2023,N,"UNABLE TO DETERMINE, UNABLE TO DETERMINE",N,N,15,4,7,41.90407674,-87.62480394
9/5/2019,Y,"UNABLE TO DETERMINE, NOT APPLICABLE",N,N,13,5,9,41.8819923,-87.63250663
7/12/2023,Y,"FAILING TO YIELD RIGHT-OF-WAY, NOT APPLICABLE",N,N,6,4,7,41.77624059,-87.75936897
7/12/2023,N,"EQUIPMENT - VEHICLE CONDITION, NOT APPLICABLE",N,N,17,4,7,41.95733431,-87.73273324
7/12/2023,N,"UNABLE TO DETERMINE, UNABLE TO DETERMINE",Y,N,14,4,7,41.80801162,-87.70751029
7/12/2023,Y,"UNABLE TO DETERMINE, UNABLE TO DETERMINE",N,N,0,4,7,41.78031218,-87.60515331
7/12/2023,Y,"UNABLE TO DETERMINE, NOT APPLICABLE",N,N,19,4,7,41.81468132,-87.61880391
7/27/2019,N,"NOT APPLICABLE, NOT APPLICABLE",N,N,22,7,7,41.69890335,-87.69014652
7/12/2023,N,"FOLLOWING TOO CLOSELY, FOLLOWING TOO CLOSELY",N,N,11,4,7,41.92781351,-87.72701303
7/12/2023,N,"UNABLE TO DETERMINE, NOT APPLICABLE",N,N,8,4,7,41.93506582,-87.71742429
7/12/2023,Y,"IMPROPER OVERTAKING/PASSING, NOT APPLICABLE",N,N,17,4,7,41.79542276,-87.69399236
7/12/2023,Y,"FAILING TO YIELD RIGHT-OF-WAY, IMPROPER TURNING/NO SIGNAL",N,N,11,4,7,42.00649643,-87.66135879
7/12/2023,N,"FAILING TO YIELD RIGHT-OF-WAY, DRIVING SKILLS/KNOWLEDGE/EXPERIENCE",N,N,8,4,7,41.99715053,-87.72331256
7/12/2023,N,"UNABLE TO DETERMINE, UNABLE TO DETERMINE",Y,N,11,4,7,41.98353333,-87.65991904
7/12/2023,N,"NOT APPLICABLE, NOT APPLICABLE",N,N,10,4,7,41.87199412,-87.76028227
7/12/2023,N,"WEATHER, WEATHER",Y,N,15,4,7,41.73696313,-87.57586271
7/12/2023,N,"DRIVING SKILLS/KNOWLEDGE/EXPERIENCE, DRIVING SKILLS/KNOWLEDGE/EXPERIENCE",N,N,0,4,7,41.97579462,-87.68899954
7/12/2023,N,"IMPROPER BACKING, UNABLE TO DETERMINE",N,N,9,4,7,41.93851134,-87.763038
7/12/2023,N,"FOLLOWING TOO CLOSELY, DRIVING SKILLS/KNOWLEDGE/EXPERIENCE",N,N,9,4,7,41.89628637,-87.64766873
7/12/2023,N,"FOLLOWING TOO CLOSELY, NOT APPLICABLE",N,N,15,4,7,41.92504785,-87.68481387
7/12/2023,N,"WEATHER, WEATHER",Y,N,19,4,7,41.95125643,-87.81294896
7/12/2023,N,"UNABLE TO DETERMINE, WEATHER",Y,N,7,4,7,41.78073244,-87.586371
4/27/2021,N,"FAILING TO YIELD RIGHT-OF-WAY, IMPROPER TURNING/NO SIGNAL",N,N,14,3,4,41.91080385,-87.66101984
7/12/2023,Y,"UNABLE TO DETERMINE, NOT APPLICABLE",N,N,18,4,7,41.96762485,-87.77743074
6/2/2023,N,"UNABLE TO DETERMINE, NOT APPLICABLE",N,N,13,6,6,41.93122854,-87.77611524
7/12/2023,N,"DISREGARDING ROAD MARKINGS, NOT APPLICABLE",N,N,17,4,7,41.97595236,-87.71340796
7/12/2023,Y,"UNABLE TO DETERMINE, NOT APPLICABLE",N,N,17,4,7,41.86343354,-87.61483526
7/12/2023,Y,"UNABLE TO DETERMINE, NOT APPLICABLE",N,N,20,4,7,41.73638005,-87.62750922
7/12/2023,N,"UNABLE TO DETERMINE, UNABLE TO DETERMINE",N,N,17,4,7,41.87063499,-87.62727753
7/12/2023,N,"DRIVING SKILLS/KNOWLEDGE/EXPERIENCE, OPERATING VEHICLE IN ERRATIC, RECKLESS, CARELESS, NEGLIGENT OR AGGRESSIVE MANNER",Y,N,10,4,7,41.73692997,-87.59260713
7/12/2023,N,"FAILING TO YIELD RIGHT-OF-WAY, NOT APPLICABLE",Y,N,17,4,7,41.94656114,-87.70399887
7/12/2023,Y,"DRIVING SKILLS/KNOWLEDGE/EXPERIENCE, NOT APPLICABLE",N,N,16,4,7,41.72146609,-87.65158786
11/2/2019,N,"UNABLE TO DETERMINE, UNABLE TO DETERMINE",N,N,18,7,11,41.89521766,-87.66152707
7/12/2023,N,"DISREGARDING STOP SIGN, UNABLE TO DETERMINE",N,N,17,4,7,41.9169782,-87.73260544
7/12/2023,N,"UNABLE TO DETERMINE, NOT APPLICABLE",N,N,10,4,7,41.75133971,-87.58563227
7/12/2023,N,"IMPROPER OVERTAKING/PASSING, UNABLE TO DETERMINE",N,N,6,4,7,41.87519014,-87.66677373
7/12/2023,N,"UNABLE TO DETERMINE, UNABLE TO DETERMINE",N,N,18,4,7,41.6773686,-87.68075032
7/12/2023,Y,"NOT APPLICABLE, NOT APPLICABLE",Y,N,8,4,7,41.77142146,-87.72243073
7/12/2023,N,"DRIVING SKILLS/KNOWLEDGE/EXPERIENCE, DRIVING SKILLS/KNOWLEDGE/EXPERIENCE",N,N,18,4,7,41.89114707,-87.61437506
7/12/2023,N,"UNABLE TO DETERMINE, NOT APPLICABLE",N,N,15,4,7,41.95687429,-87.76727186
7/12/2023,Y,"UNABLE TO DETERMINE, NOT APPLICABLE",N,N,10,4,7,41.89992827,-87.63447631
7/12/2023,N,"UNABLE TO DETERMINE, IMPROPER LANE USAGE",N,N,17,4,7,41.86100097,-87.6496677
4/10/2021,N,"DISTRACTION - FROM INSIDE VEHICLE, NOT APPLICABLE",N,N,9,7,4,41.91086299,-87.66102222
7/12/2023,N,"FAILING TO YIELD RIGHT-OF-WAY, FAILING TO YIELD RIGHT-OF-WAY",N,N,7,4,7,41.95231713,-87.75098271
7/12/2023,Y,"NOT APPLICABLE, NOT APPLICABLE",N,N,17,4,7,41.75647231,-87.62631276
7/9/2021,N,"DISREGARDING TRAFFIC SIGNALS, DISREGARDING TRAFFIC SIGNALS",Y,N,8,6,7,41.91079724,-87.6613136
7/12/2023,N,"UNABLE TO DETERMINE, UNABLE TO DETERMINE",N,N,14,4,7,41.89505373,-87.75522529
7/12/2023,N,"WEATHER, UNABLE TO DETERMINE",N,N,4,4,7,41.89932228,-87.61873843
7/26/2023,N,"FOLLOWING TOO CLOSELY, UNABLE TO DETERMINE",N,N,17,4,7,41.83100316,-87.63530103
7/12/2023,Y,"UNABLE TO DETERMINE, NOT APPLICABLE",N,N,5,4,7,41.91755469,-87.63751656
5/25/2021,N,"FAILING TO YIELD RIGHT-OF-WAY, UNABLE TO DETERMINE",N,N,11,3,5,41.91115214,-87.66132779
7/12/2023,Y,"UNABLE TO DETERMINE, UNABLE TO DETERMINE",N,N,22,4,7,41.95454794,-87.76934533
7/12/2023,N,"FAILING TO YIELD RIGHT-OF-WAY, NOT APPLICABLE",Y,N,15,4,7,41.76864847,-87.66375855
7/12/2023,N,"UNABLE TO DETERMINE, UNABLE TO DETERMINE",N,N,9,4,7,41.71314689,-87.71531465
7/12/2023,N,"IMPROPER BACKING, IMPROPER BACKING",N,N,14,4,7,41.95346997,-87.73528767
7/12/2023,N,"IMPROPER OVERTAKING/PASSING, UNABLE TO DETERMINE",N,N,12,4,7,42.01236164,-87.68748715
7/12/2023,N,"UNABLE TO DETERMINE, NOT APPLICABLE",N,N,18,4,7,41.94227034,-87.76677696
7/12/2023,N,"FOLLOWING TOO CLOSELY, NOT APPLICABLE",N,N,19,4,7,42.01138727,-87.68260527
7/12/2023,N,"FAILING TO YIELD RIGHT-OF-WAY, VISION OBSCURED (SIGNS, TREE LIMBS, BUILDINGS, ETC.)",N,N,12,4,7,41.8285619,-87.6849517
10/27/2017,N,"UNABLE TO DETERMINE, NOT APPLICABLE",N,N,15,6,10,41.91079724,-87.6613136
7/12/2023,N,"UNABLE TO DETERMINE, UNABLE TO DETERMINE",N,N,8,4,7,41.70634396,-87.6767233
7/12/2023,N,"DISREGARDING TRAFFIC SIGNALS, NOT APPLICABLE",Y,N,13,4,7,41.89120784,-87.6151303
6/21/2019,N,"UNABLE TO DETERMINE, NOT APPLICABLE",N,N,19,6,6,41.89111833,-87.61438469
7/12/2023,N,"FAILING TO REDUCE SPEED TO AVOID CRASH, UNABLE TO DETERMINE",N,N,5,4,7,41.90095892,-87.61992817
7/12/2023,N,"UNABLE TO DETERMINE, NOT APPLICABLE",N,N,7,4,7,41.84459206,-87.70753947
7/12/2023,N,"UNABLE TO DETERMINE, UNABLE TO DETERMINE",N,N,19,4,7,41.90978781,-87.72550466
7/12/2023,N,"UNABLE TO DETERMINE, UNABLE TO DETERMINE",Y,N,13,4,7,41.9242158,-87.75621076
12/3/2019,N,"UNABLE TO DETERMINE, UNABLE TO DETERMINE",N,N,7,3,12,41.69223013,-87.66156571
7/23/2023,Y,"FAILING TO YIELD RIGHT-OF-WAY, FAILING TO YIELD RIGHT-OF-WAY",N,N,3,1,7,41.94353329,-87.80709507
7/12/2023,N,"IMPROPER OVERTAKING/PASSING, NOT APPLICABLE",N,N,18,4,7,41.88452436,-87.62776455
7/12/2023,N,"IMPROPER BACKING, UNABLE TO DETERMINE",N,N,19,4,7,41.94711775,-87.65538116
7/12/2023,N,"UNABLE TO DETERMINE, UNABLE TO DETERMINE",N,N,15,4,7,41.7391071,-87.55160958
7/12/2023,N,"FOLLOWING TOO CLOSELY, NOT APPLICABLE",Y,N,18,4,7,41.93255021,-87.66604833
7/12/2023,N,"FAILING TO REDUCE SPEED TO AVOID CRASH, DRIVING SKILLS/KNOWLEDGE/EXPERIENCE",N,N,9,4,7,41.90984206,-87.73779797
7/12/2023,N,"FAILING TO REDUCE SPEED TO AVOID CRASH, FOLLOWING TOO CLOSELY",N,N,13,4,7,41.96058943,-87.74967542
7/12/2023,N,"UNABLE TO DETERMINE, UNABLE TO DETERMINE",N,N,13,4,7,41.89560534,-87.71259634
7/12/2023,N,"UNABLE TO DETERMINE, NOT APPLICABLE",N,N,17,4,7,41.92040638,-87.80599385
7/12/2023,Y,"FAILING TO REDUCE SPEED TO AVOID CRASH, NOT APPLICABLE",N,N,15,4,7,42.0180555,-87.66831786
4/8/2017,N,"UNABLE TO DETERMINE, NOT APPLICABLE",N,N,15,7,4,41.91085638,-87.66131599
11/10/2019,N,"NOT APPLICABLE, NOT APPLICABLE",N,N,11,1,11,41.73256752,-87.66282631
7/12/2023,N,"IMPROPER OVERTAKING/PASSING, UNABLE TO DETERMINE",N,N,18,4,7,41.9151769,-87.74887262
10/22/2018,N,"UNABLE TO DETERMINE, NOT APPLICABLE",N,N,13,2,10,41.88285827,-87.66045062
7/12/2023,N,"UNABLE TO DETERMINE, UNABLE TO DETERMINE",N,N,14,4,7,41.70735951,-87.55353252
7/27/2018,N,"UNABLE TO DETERMINE, NOT APPLICABLE",N,N,15,6,7,41.88244399,-87.66073237
11/12/2019,N,"FAILING TO YIELD RIGHT-OF-WAY, FAILING TO YIELD RIGHT-OF-WAY",N,N,10,3,11,41.88285827,-87.66045062
7/12/2023,N,"FAILING TO REDUCE SPEED TO AVOID CRASH, WEATHER",N,N,19,4,7,41.88086436,-87.70599745
7/12/2023,Y,"DISREGARDING OTHER TRAFFIC SIGNS, OPERATING VEHICLE IN ERRATIC, RECKLESS, CARELESS, NEGLIGENT OR AGGRESSIVE MANNER",Y,N,12,4,7,41.95412339,-87.68840835
7/12/2023,N,"OPERATING VEHICLE IN ERRATIC, RECKLESS, CARELESS, NEGLIGENT OR AGGRESSIVE MANNER, WEATHER",Y,N,15,4,7,41.76870163,-87.64628515
7/12/2023,N,"FAILING TO YIELD RIGHT-OF-WAY, FAILING TO YIELD RIGHT-OF-WAY",N,N,7,4,7,41.81535204,-87.70440626
7/12/2023,Y,"UNABLE TO DETERMINE, NOT APPLICABLE",N,N,23,4,7,41.810779,-87.71995344
6/29/2019,N,"UNABLE TO DETERMINE, NOT APPLICABLE",N,N,22,7,6,41.79014982,-87.62087654
7/12/2023,Y,"UNABLE TO DETERMINE, UNABLE TO DETERMINE",N,N,15,4,7,41.86278137,-87.72048662
7/12/2023,N,"DRIVING SKILLS/KNOWLEDGE/EXPERIENCE, DRIVING SKILLS/KNOWLEDGE/EXPERIENCE",N,N,13,4,7,41.85417783,-87.64189731
7/12/2023,Y,"FOLLOWING TOO CLOSELY, NOT APPLICABLE",Y,N,10,4,7,41.95464083,-87.65156901
7/12/2023,N,"DISREGARDING TRAFFIC SIGNALS, UNABLE TO DETERMINE",N,N,11,4,7,41.94003278,-87.64941521
7/25/2023,N,"UNABLE TO DETERMINE, NOT APPLICABLE",N,N,20,3,7,41.7514606,-87.58597199
7/12/2023,N,"UNABLE TO DETERMINE, NOT APPLICABLE",N,N,8,4,7,41.88325039,-87.72588315
7/12/2023,N,"FOLLOWING TOO CLOSELY, NOT APPLICABLE",N,N,15,4,7,41.93927946,-87.63803481
7/12/2023,N,"UNABLE TO DETERMINE, NOT APPLICABLE",N,N,7,4,7,41.89262794,-87.61426222
7/12/2023,Y,"IMPROPER TURNING/NO SIGNAL, NOT APPLICABLE",N,N,19,4,7,41.87174547,-87.62737703
7/12/2023,N,"FOLLOWING TOO CLOSELY, FOLLOWING TOO CLOSELY",N,N,12,4,7,41.89568826,-87.70415878
1/2/2020,Y,"UNABLE TO DETERMINE, NOT APPLICABLE",N,N,14,5,1,41.91830362,-87.64597389
7/12/2023,Y,"UNABLE TO DETERMINE, UNABLE TO DETERMINE",N,N,23,4,7,41.727493,-87.59960785
7/12/2023,N,"FAILING TO YIELD RIGHT-OF-WAY, NOT APPLICABLE",N,N,1,4,7,41.84436482,-87.72461414
7/12/2023,N,"UNABLE TO DETERMINE, UNABLE TO DETERMINE",N,N,7,4,7,41.74239075,-87.71555705
7/12/2023,N,"DISREGARDING ROAD MARKINGS, FAILING TO YIELD RIGHT-OF-WAY",N,N,10,4,7,41.86489174,-87.68565139
7/12/2023,N,"DRIVING SKILLS/KNOWLEDGE/EXPERIENCE, FAILING TO YIELD RIGHT-OF-WAY",N,N,12,4,7,41.95219924,-87.83681502
7/12/2023,Y,"UNABLE TO DETERMINE, UNABLE TO DETERMINE",N,N,14,4,7,41.92030449,-87.71182274
7/12/2023,N,"DRIVING SKILLS/KNOWLEDGE/EXPERIENCE, NOT APPLICABLE",N,N,22,4,7,,
7/25/2023,Y,"UNABLE TO DETERMINE, UNABLE TO DETERMINE",N,N,19,3,7,42.01667746,-87.68416989
7/12/2023,N,"FAILING TO YIELD RIGHT-OF-WAY, NOT APPLICABLE",N,N,9,4,7,41.98494175,-87.76844328
1/31/2020,N,"UNABLE TO DETERMINE, NOT APPLICABLE",N,N,10,6,1,41.89469319,-87.66122147
7/12/2023,N,"TURNING RIGHT ON RED, NOT APPLICABLE",N,N,12,4,7,41.74279792,-87.67281258
7/12/2023,N,"FAILING TO YIELD RIGHT-OF-WAY, NOT APPLICABLE",N,N,17,4,7,41.929849,-87.68464378
7/12/2023,N,"IMPROPER TURNING/NO SIGNAL, IMPROPER LANE USAGE",Y,N,14,4,7,41.7566817,-87.64434493
7/12/2023,N,"VISION OBSCURED (SIGNS, TREE LIMBS, BUILDINGS, ETC.), UNABLE TO DETERMINE",N,N,19,4,7,41.77986277,-87.63117472
7/12/2023,N,"UNABLE TO DETERMINE, UNABLE TO DETERMINE",N,N,16,4,7,41.88168705,-87.70137118
7/12/2023,Y,"FAILING TO YIELD RIGHT-OF-WAY, NOT APPLICABLE",N,N,13,4,7,41.84197651,-87.61772003
7/12/2023,N,"UNABLE TO DETERMINE, UNABLE TO DETERMINE",N,N,15,4,7,41.88056364,-87.74861367
7/12/2023,N,"FAILING TO YIELD RIGHT-OF-WAY, NOT APPLICABLE",N,N,9,4,7,41.98661352,-87.66518125
7/12/2023,Y,"UNABLE TO DETERMINE, UNABLE TO DETERMINE",N,N,10,4,7,41.88310003,-87.63437825
10/12/2019,N,"UNABLE TO DETERMINE, UNABLE TO DETERMINE",N,N,17,7,10,41.82362966,-87.62657307
